file_id,source_id,local_path,filename,bytes,sha256,page_count,text_chars,table_count,acquisition_route,acquisition_date,download_status
FILE_SRC001,SRC001,ml_project/corpus_pdfs/01_ScienceDirect_S0142112319304967.pdf,01_ScienceDirect_S0142112319304967.pdf,5083782,4cc6e14f1d8c91cf38b0ca8d7c7345b63a3a13aea0d2c6ced570774dcbce1da5,12,61851,0,local_corpus,2026-07-01,available
FILE_SRC002,SRC002,ml_project/corpus_pdfs/02_AerospaceMfg_improving-fatigue-life.pdf,02_AerospaceMfg_improving-fatigue-life.pdf,4827941,5428d15c4a23ec15d92c2947db3a4e93c8f42b57f293af73f3e3b09028406ec4,6,7294,6,local_corpus,2026-07-01,available
FILE_SRC003,SRC003,ml_project/corpus_pdfs/03_MDPI_metals-16-00057.pdf,03_MDPI_metals-16-00057.pdf,10640042,1e735fa24fe598e477a1a51015c6623a3f08f7ecc1c557ebb7f9397737c81992,21,57972,0,local_corpus,2026-07-01,available
FILE_SRC004,SRC004,ml_project/corpus_pdfs/04_Mackenzie_RafaelEringerCubi_thesis.pdf,04_Mackenzie_RafaelEringerCubi_thesis.pdf,5111250,f10239db897f01fa2f4639d75ab48d0125f57bab5f84d0959e903b03dcb2ea1d,76,113611,41,local_corpus,2026-07-01,available
FILE_SRC005,SRC005,ml_project/corpus_pdfs/05_Wiley_ffe14163_SanchezCamargo2023.pdf,05_Wiley_ffe14163_SanchezCamargo2023.pdf,16082970,f4f2b4971c613b73e6d6edb7526df158cb1044af34bb3c492eaa738fa0295b2b,16,51740,1,local_corpus,2026-07-01,available
FILE_SRC006,SRC006,ml_project/corpus_pdfs/06_AdditiveMfg_S2214860420308149.pdf,06_AdditiveMfg_S2214860420308149.pdf,9030252,38e8f9a4a9bfd3e739f2276798a629051f9b1df6db3477cc1a0dd4f53177812c,14,46915,0,local_corpus,2026-07-01,available
FILE_SRC007,SRC007,ml_project/corpus_pdfs/07_HAL_SP_Effect_on_brut_FA.pdf,07_HAL_SP_Effect_on_brut_FA.pdf,15917004,f8a17c4c6ec9d6d74b36e5d08a666d3acab018664c7a7bc6fd867bf92ea7138d,38,47706,6,local_corpus,2026-07-01,available
FILE_SRC008,SRC008,ml_project/corpus_pdfs/08_ResearchGate_annealing_Inconel718.pdf,08_ResearchGate_annealing_Inconel718.pdf,9584560,e482e028ea26194133e56ddd589ed8ac632ddb5692c0cf4546baa238072572bb,13,35610,3,local_corpus,2026-07-01,available
FILE_SRC009,SRC009,ml_project/corpus_pdfs/09_ScienceDirect_S0142112325002269.pdf,09_ScienceDirect_S0142112325002269.pdf,40853747,349ab0586c0cb76b2e9590d8020bdf05889a1bfdf7026e1594eb1a1866a98ab0,17,79680,0,local_corpus,2026-07-01,available
FILE_SRC010,SRC010,ml_project/corpus_pdfs/10_ScienceDirect_S0142112322005370.pdf,10_ScienceDirect_S0142112322005370.pdf,20983562,2ce3fbe6117b962de3b98034d6047a1ce9a118be1b57bdd4e376c1bc35a0912c,13,63563,0,local_corpus,2026-07-01,available
