sn_point_id,source_type,target_id,source_id,source_pdf,source_page,figure_id,curve_id,condition_id,point_index,alloy,test_type,stress_metric_digitised,stress_metric_type,axis_scale_x,axis_scale_y,runout_encoding,stress_amplitude_MPa,max_stress_MPa,cycles_to_failure,log10_cycles_to_failure,runout_flag,stress_ratio_R,test_temperature_C,build_orientation,surface_condition,heat_treatment_class,data_origin,data_status,review_status,notes
NEW10_HT1_Rminus1_RT-0001,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,1,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,600.47,,811444.0,5.90926,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0002,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,2,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,700.13,,966028.0,5.98499,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0003,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,3,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,499.61,,1302579.0,6.1148,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0004,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,4,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,500.0,,3204403.0,6.50575,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0005,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,5,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,400.18,,6849751.0,6.83567,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0006,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,6,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,400.09,,8627676.0,6.93589,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0007,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,7,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,349.17,,13632595.0,7.13458,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT1_Rminus1_RT-0008,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-1,NEW10_HT1_Rminus1_RT,8,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,295.1,,296249301.0,8.47166,False,-1,25,not reported,not reported,HT-1,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT2_Rminus1_RT-0009,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-2,NEW10_HT2_Rminus1_RT,9,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,800.32,,468311.0,5.67053,False,-1,25,not reported,not reported,HT-2,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT2_Rminus1_RT-0010,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-2,NEW10_HT2_Rminus1_RT,10,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,701.47,,589375.0,5.77039,False,-1,25,not reported,not reported,HT-2,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
NEW10_HT2_Rminus1_RT-0011,literature_digitised_marker,SN_NEW10_Fig_14,NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,11,Fig. 14,HT-2,NEW10_HT2_Rminus1_RT,11,Inconel 718,fatigue,stress amplitude,stress_amplitude,log,linear,none observed,600.68,,3451555.0,6.53801,False,-1,25,not reported,not reported,HT-2,ml_project/figures/sn_priority_rendered/NEW10_scan-11.png,marker_digitised_visual_reviewed,reviewed,Marker-level point extracted from Fig. 14. Published caption reports R = -1 at room temperature; fitted curve in the figure was not digitised as a point.
